10	0.028	0.00084	0.12	0.028
25 	0.0264	0.00079	0.132	0.026
50	0.0272	0.00082	0.178	0.027
75	0.0264	0.00079	0.244	0.026
100	0.028	0.00084	0.32	0.028
200	0.028	0.00084	0.6	0.028
500	0.0272	0.00082	1.22	0.027
750	0.0264	0.00079	1.7	0.026
1000	0.0272	0.00082	2.04	0.027
2000	0.0272	0.00082	2.86	0.027
5000	0.0272	0.00082	3.36	0.027
7500	0.0272	0.00082	3.48	0.027
10000	0.0272	0.00082	3.48	0.027
12000	0.0272	0.00082	3.48	0.027
15000	0.0272	0.00082	3.52	0.027
17500	0.0272	0.00082	3.52	0.027
20000	0.0272	0.00082	3.48	0.027
50000	0.0272	0.00082	3.44	0.027
75000	0.0272	0.00082	3.44	0.027
100000	0.0272	0.00082	3.44	0.027
250000	0.0272	0.00082	3.20	0.027
500000	0.0256	0.00077	2.68	0.026
750000	0.024	0.00072	2.16	0.024
1000000	0.0224	0.00067	1.74	0.022
1100000	0.0224	0.00067	1.6	0.022
1250000	0.0216	0.00065	1.44	0.022
1500000	0.0216	0.00065	1.26	0.022
